The Conjuring,Horror|Mystery,haunting investigators house,Investigators help a family trapped in a frightening rural home.,,,7.5,2013,,Hollywood,English
The Witch,Horror|Drama,faith isolation forest,A family living at the edge of a forest faces growing suspicion and fear.,,,7.0,2015,,Hollywood,English
The Lighthouse,Drama|Horror,island sailors madness,Two lighthouse keepers struggle with isolation and each other.,,,7.4,2019,,Hollywood,English
Toy Story,Animation|Comedy|Adventure,toys friendship childhood,Toys come alive and learn what friendship means when a new rival arrives.,,,8.3,1995,,Hollywood,English
WALL-E,Animation|Sci-Fi,robot earth space love,A small robot discovers purpose and hope on an abandoned Earth.,,,8.4,2008,,Hollywood,English
Up,Animation|Adventure|Comedy,house journey grief,A widower travels to a distant wilderness with an unexpected companion.,,,8.3,2009,,Hollywood,English
Coco,Animation|Fantasy|Music,family memory music,A young musician enters a colorful world to understand his family history.,,,8.4,2017,,Hollywood,English
Inside Out,Animation|Comedy,emotion family,A child learns to understand the feelings guiding her through change.,,,8.1,2015,,Hollywood,English
Finding Nemo,Animation|Adventure,ocean family,A timid father crosses the ocean to find his missing son.,,,8.2,2003,,Hollywood,English
Ratatouille,Animation|Comedy,cooking ambition,A gifted rat pursues a dream of cooking in a famous restaurant.,,,8.1,2007,,Hollywood,English
How to Train Your Dragon,Animation|Adventure,dragons friendship,A young Viking changes his village by befriending a dragon.,,,8.1,2010,,Hollywood,English
The Incredibles,Animation|Action|Family,superhero family identity,A family of heroes returns to action while trying to live normally.,,,8.0,2004,,Hollywood,English
Zootopia,Animation|Comedy,mystery city,A determined officer and a clever hustler uncover a citywide conspiracy.,,,8.0,2016,,Hollywood,English
La La Land,Drama|Romance|Music,jazz dreams ambition,Two artists fall in love while chasing difficult creative dreams.,,,8.0,2016,,Hollywood,English
The Notebook,Romance|Drama,memory love separation,An enduring romance survives years of distance and changing circumstances.,,,7.8,2004,,Hollywood,English
Titanic,Romance|Drama,ship love tragedy,Two passengers from different worlds fall in love on a famous voyage.,,,7.9,1997,,Hollywood,English
Before Sunrise,Romance|Drama,conversation travel connection,Two travelers spend one night walking and talking through a European city.,,,8.1,1995,,Hollywood,English
Before Sunset,Romance|Drama,reunion time love,Former lovers meet again and reconsider the lives they built apart.,,,8.1,2004,,Hollywood,English
About Time,Romance|Comedy,time travel family,A young man uses a strange gift to improve love and family life.,,,7.8,2013,,Hollywood,English
500 Days of Summer,Romance|Comedy,breakup memory expectations,A young man looks back on a relationship and learns about himself.,,,7.7,2009,,Hollywood,English
Eternal Sunshine,Romance|Sci-Fi,memory heartbreak identity,Two people discover that erasing memories cannot erase love.,,,8.3,2004,,Hollywood,English
Crazy Rich Asians,Romance|Comedy,family culture wealth,A woman meets her partners wealthy family and faces social expectations.,,,6.9,2018,,Hollywood,English
The Big Sick,Romance|Comedy,illness culture family,A comedian and his partner navigate illness and cultural expectations.,,,7.5,2017,,Hollywood,English
Silver Linings Playbook,Drama|Romance,mental health dance family,Two wounded people find connection while rebuilding their lives.,,,7.7,2012,,Hollywood,English
The Pursuit of Happyness,Drama|Biography,poverty father perseverance,A father works through hardship to build a better life for his son.,,,8.0,2006,,Hollywood,English
The Theory of Everything,Drama|Biography,science love illness,A brilliant scientist and his partner face changing circumstances together.,,,7.7,2014,,Hollywood,English
Hidden Figures,Drama|History,space mathematics equality,Three mathematicians help change a space program while challenging barriers.,,,7.8,2016,,Hollywood,English
Oppenheimer,Drama|History|Biography,science war invention,A scientist leads a project that reshapes modern history.,,,8.6,2023,,Hollywood,English
The Social Dilemma,Documentary|Drama,technology media privacy,A film explores how digital platforms shape attention and society.,,,7.6,2020,,Hollywood,English
The Big Short,Drama|Comedy,finance crisis investigation,Analysts uncover a financial collapse before the world sees it coming.,,,7.8,2015,,Hollywood,English
Spotlight,Drama|History,journalism investigation truth,A newspaper team investigates a powerful institution and hidden abuse.,,,8.1,2015,,Hollywood,English
All the Presidents Men,Drama|History,journalism politics scandal,Reporters follow evidence through a political scandal.,,,8.0,1976,,Hollywood,English
The Trial of the Chicago 7,Drama|History,court protest politics,A courtroom battle follows a controversial political trial.,,,7.7,2020,,Hollywood,English
Apollo 13,Drama|History|Adventure,space crisis teamwork,A damaged spacecraft crew fights to return home safely.,,,7.7,1995,,Hollywood,English
The Right Stuff,Drama|History|Adventure,pilots space ambition,Test pilots and astronauts push the limits of flight.,,,7.8,1983,,Hollywood,English
Ford v Ferrari,Drama|Sport|History,racing rivalry engineering,Drivers and engineers build a car to challenge a racing champion.,,,8.1,2019,,Hollywood,English
Rocky,Drama|Sport,boxing discipline comeback,A local boxer receives a once-in-a-lifetime chance at a title fight.,,,8.1,1976,,Hollywood,English
Creed,Drama|Sport,boxing legacy training,A young boxer seeks his own identity under the shadow of a champion.,,,7.6,2015,,Hollywood,English
Moneyball 2,Drama|Sport,baseball strategy teamwork,A determined team uses planning and data to compete against richer rivals.,,,7.2,2022,,Hollywood,English
The Karate Kid,Drama|Sport,mentor discipline tournament,A teenager learns patience and courage from an unexpected mentor.,,,7.3,1984,,Hollywood,English
Remember the Titans,Drama|Sport,football teamwork equality,A coach builds a united team during a tense period of social change.,,,7.8,2000,,Hollywood,English
The Last Samurai,Action|Drama,war honor culture,A soldier finds purpose while caught between changing traditions.,,,7.7,2003,,Hollywood,English
Gladiator,Action|Drama|History,empire revenge arena,A betrayed general fights for justice in an ancient arena.,,,8.5,2000,,Hollywood,English
Braveheart,Action|Drama|History,freedom rebellion Scotland,A warrior leads a rebellion against an occupying power.,,,8.3,1995,,Hollywood,English
Troy,Action|Drama|History,war honor mythology,An ancient conflict tests loyalty and ambition among rival kingdoms.,,,7.3,2004,,Hollywood,English
Kingdom of Heaven,Action|Drama|History,crusades honor Jerusalem,A reluctant leader defends a city while seeking peace.,,,7.2,2005,,Hollywood,English
300,Action|Drama|History,war Sparta sacrifice,A small force makes a legendary stand against a vast army.,,,7.6,2006,,Hollywood,English
The Revenant,Adventure|Drama|Western,survival revenge wilderness,A wounded frontiersman crosses a frozen wilderness seeking justice.,,,8.0,2015,,Hollywood,English
Cast Away,Drama|Adventure,island survival isolation,A stranded traveler learns to survive and reconnect with hope.,,,7.8,2000,,Hollywood,English
Life of Pi,Adventure|Drama,sea survival faith tiger,A young survivor shares a lifeboat with a dangerous animal.,,,7.9,2012,,Hollywood,English
127 Hours,Drama|Adventure,survival climbing courage,A climber trapped in the wilderness must make an impossible decision.,,,7.5,2010,,Hollywood,English
Wild,Drama|Adventure,healing hiking grief,A woman hikes a long trail to recover from personal loss.,,,7.1,2014,,Hollywood,English
The Secret Life of Walter Mitty,Adventure|Comedy,travel imagination courage,A quiet worker begins a real adventure beyond his daydreams.,,,7.3,2013,,Hollywood,English
Pirates of the Caribbean,Adventure|Fantasy,pirates treasure curse,A clever pirate joins a rescue mission involving a supernatural curse.,,,8.0,2003,,Hollywood,English
Jurassic Park,Adventure|Sci-Fi,dinosaurs science island,A theme park loses control of its resurrected prehistoric attractions.,,,8.2,1993,,Hollywood,English
Jaws,Thriller|Adventure,shark ocean beach,A small coastal town faces a deadly threat in its waters.,,,8.1,1975,,Hollywood,English
The Lost Boys,Horror|Comedy,vampires friendship town,Teenagers discover that a seaside town hides a dangerous secret.,,,7.2,1987,,Hollywood,English
The Hunger Games,Action|Sci-Fi,survival rebellion tournament,A young woman enters a televised contest and inspires resistance.,,,7.2,2012,,Hollywood,English
The Maze Runner,Sci-Fi|Mystery,labyrinth memory survival,A teenager wakes in a strange maze with no memory of his past.,,,6.8,2014,,Hollywood,English
Divergent,Sci-Fi|Action,identity rebellion factions,A young woman challenges a society divided by personality types.,,,6.6,2014,,Hollywood,English
Ready Player One,Sci-Fi|Adventure,virtual reality treasure,A gamer enters a digital competition for control of a vast virtual world.,,,7.4,2018,,Hollywood,English
Minority Report,Sci-Fi|Thriller,future crime identity,A police officer questions a system that predicts crimes before they happen.,,,7.6,2002,,Hollywood,English
District 9,Sci-Fi|Action,aliens segregation transformation,An official becomes an outsider while investigating an alien settlement.,,,7.9,2009,,Hollywood,English
Moon,Sci-Fi|Drama,space identity isolation,A worker alone on the Moon begins to question his own reality.,,,7.8,2009,,Hollywood,English
Sunshine,Sci-Fi|Thriller,space mission sacrifice,A crew travels toward a dying sun on a mission to save Earth.,,,7.2,2007,,Hollywood,English
Looper,Sci-Fi|Action,time travel crime identity,A future assassin confronts an older version of himself.,,,7.4,2012,,Hollywood,English
Edge of Tomorrow,Action|Sci-Fi,time loop aliens battle,A soldier relives the same battle until he can change its outcome.,,,7.9,2014,,Hollywood,English
Oblivion,Sci-Fi|Action,post apocalyptic memory drones,A technician on a ruined Earth discovers a hidden truth.,,,7.0,2013,,Hollywood,English
The Fifth Element,Sci-Fi|Action,space future prophecy,A cab driver becomes central to a cosmic struggle over Earths survival.,,,7.6,1997,,Hollywood,English
Children of Men,Sci-Fi|Drama,dystopia hope pregnancy,A cynical man protects a woman whose pregnancy could change humanitys future.,,,7.9,2006,,Hollywood,English
V for Vendetta,Action|Drama,revolution identity freedom,A masked revolutionary challenges an authoritarian government.,,,8.1,2005,,Hollywood,English
The Batman,Action|Crime|Mystery,detective corruption city,A young vigilante follows clues through a corrupt city.,,,7.8,2022,,Hollywood,English
Iron Man,Action|Sci-Fi,hero technology redemption,A weapons maker builds a suit and turns his life toward protecting others.,,,7.9,2008,,Hollywood,English
3 Idiots,Comedy|Drama,students friendship education,A student challenges a rigid education system while protecting his friends.,,,8.4,2009,,Bollywood,Hindi
Lagaan,Drama|Sport|History,cricket village freedom,A village accepts an impossible cricket match to resist an unfair tax.,,,8.1,2001,,Bollywood,Hindi
Dangal,Drama|Sport,father daughters wrestling,A determined father trains his daughters to compete as wrestlers.,,,8.3,2016,,Bollywood,Hindi
Taare Zameen Par,Drama|Family,school art dyslexia,A teacher helps a creative child find confidence and understanding.,,,8.3,2007,,Bollywood,Hindi
Rang De Basanti,Drama|History,friendship activism revolution,Young friends discover courage while confronting injustice in their country.,,,8.1,2006,,Bollywood,Hindi
Swades,Drama|Social,village development identity,A successful engineer returns home and works to improve his village.,,,8.2,2004,,Bollywood,Hindi
Dil Chahta Hai,Comedy|Drama|Romance,friendship travel adulthood,Three friends face changing relationships as they grow into adulthood.,,,8.1,2001,,Bollywood,Hindi
Zindagi Na Milegi Dobara,Comedy|Drama|Adventure,friendship travel self discovery,Three friends take a journey that changes how they see their lives.,,,8.2,2011,,Bollywood,Hindi
Rockstar,Drama|Music|Romance,music ambition heartbreak,A gifted musician finds success while struggling with love and identity.,,,7.7,2011,,Bollywood,Hindi
Barfi,Comedy|Drama|Romance,silent love friendship,A joyful man and two women find unexpected forms of love and belonging.,,,8.1,2012,,Bollywood,Hindi
Queen,Comedy|Drama,travel independence confidence,A young woman travels alone and discovers her own strength.,,,8.1,2013,,Bollywood,Hindi
English Vinglish,Comedy|Drama,family confidence language,A homemaker learns English and gains confidence during a trip abroad.,,,7.8,2012,,Bollywood,Hindi
Kahaani,Thriller|Mystery,pregnancy investigation Kolkata,A woman searches a city for her missing husband while hiding a secret.,,,8.1,2012,,Bollywood,Hindi
Andhadhun,Crime|Thriller|Comedy,pianist mystery deception,A pianist becomes entangled in a crime after an unusual encounter.,,,8.2,2018,,Bollywood,Hindi
Drishyam,Crime|Drama|Thriller,family protection investigation,A father uses careful planning to protect his family from a crime investigation.,,,8.2,2015,,Bollywood,Hindi
Article 15,Crime|Drama|Mystery,police equality investigation,A police officer investigates a case shaped by social discrimination.,,,8.1,2019,,Bollywood,Hindi
Talvar,Crime|Drama|Mystery,investigation evidence justice,Several perspectives reveal the uncertainty behind a difficult investigation.,,,8.2,2015,,Bollywood,Hindi
Gangs of Wasseypur,Crime|Drama,revenge family crime,A feud between families grows across generations in a mining town.,,,8.2,2012,,Bollywood,Hindi
Sacred Games,Crime|Thriller,police gangster Mumbai,A troubled officer follows a warning that connects crime and politics.,,,8.5,2018,,Bollywood,Hindi
Maqbool,Crime|Drama,Shakespeare ambition betrayal,A crime boss and his associates become trapped by ambition and guilt.,,,8.0,2003,,Bollywood,Hindi
Omkara,Crime|Drama,politics jealousy betrayal,A powerful rural drama follows betrayal within a criminal circle.,,,8.1,2006,,Bollywood,Hindi
Haider,Drama|Crime|War,family conflict Kashmir revenge,A son returns home and is drawn into a conflict involving family and power.,,,8.0,2014,,Bollywood,Hindi
Memento Mori,Drama|Mystery,memory investigation identity,A man searches for answers while memories and loyalties shift around him.,,,7.2,2018,,Bollywood,Hindi
Masaan,Drama|Romance,grief caste hope river,Two people seek dignity and hope while facing social expectations.,,,8.1,2015,,Bollywood,Hindi
The Lunchbox,Drama|Romance,food letters loneliness Mumbai,A mistaken lunch delivery creates a quiet connection between two strangers.,,,7.8,2013,,Bollywood,Hindi
Piku,Comedy|Drama,family road trip aging,A daughter and her difficult father take a memorable road journey.,,,7.6,2015,,Bollywood,Hindi
Vicky Donor,Comedy|Romance,family fertility humor,A charming man enters an unusual business and finds unexpected love.,,,7.8,2012,,Bollywood,Hindi
Stree,Horror|Comedy,town folklore friendship,A small town unites to face a mysterious figure from local legend.,,,7.5,2018,,Bollywood,Hindi
Tumbbad,Horror|Fantasy,folklore greed treasure,A family faces an ancient force tied to greed and forbidden treasure.,,,8.2,2018,,Bollywood,Hindi
Bulbbul,Drama|Horror,folklore injustice transformation,A woman becomes a mysterious protector in a society built on cruelty.,,,6.6,2020,,Bollywood,Hindi
Pari,Horror|Mystery,supernatural forest compassion,A man helps a mysterious woman whose past hides a dark secret.,,,6.6,2018,,Bollywood,Hindi
Raazi,Drama|Thriller,spy family sacrifice,A young woman enters a dangerous mission to protect her country and family.,,,7.7,2018,,Bollywood,Hindi
Baby,Action|Thriller,spies terrorism mission,An intelligence team races to stop a threat before it reaches the country.,,,7.9,2015,,Bollywood,Hindi
Uri The Surgical Strike,Action|War,soldiers mission revenge,A military team plans a difficult operation after an attack.,,,8.2,2019,,Bollywood,Hindi
Shershaah,Drama|War,soldier courage sacrifice,A soldier serves his country while balancing duty and personal love.,,,8.4,2021,,Bollywood,Hindi
Border,War|Drama,soldiers battle patriotism,A group of soldiers defends its position against overwhelming odds.,,,7.9,1997,,Bollywood,Hindi
Lakshya,Drama|War,army purpose growth,A directionless young man finds purpose through military service.,,,7.8,2004,,Bollywood,Hindi
Kesari,Action|Drama|History,battle courage sacrifice,A small group of soldiers makes a historic stand against a larger force.,,,7.4,2019,,Bollywood,Hindi
Manikarnika,Action|Drama|History,queen rebellion freedom,A determined queen leads a resistance against colonial power.,,,6.4,2019,,Bollywood,Hindi
Bhaag Milkha Bhaag,Drama|Biography,running trauma resilience,A runner transforms personal tragedy into athletic determination.,,,8.2,2013,,Bollywood,Hindi
Mary Kom,Drama|Sport,boxing family determination,A boxer fights for a career while balancing family and social expectations.,,,6.8,2014,,Bollywood,Hindi
M.S. Dhoni The Untold Story,Drama|Sport,cricket ambition perseverance,A young cricketer works through setbacks to reach the national team.,,,7.9,2016,,Bollywood,Hindi
Chak De India,Drama|Sport,hockey teamwork equality,A coach rebuilds a womens hockey team through discipline and trust.,,,8.1,2007,,Bollywood,Hindi
Iqbal,Drama|Sport,cricket deaf determination,A talented young player pursues cricket despite communication barriers.,,,8.1,2005,,Bollywood,Hindi
Mukkabaaz,Drama|Sport,boxing caste ambition,A boxer battles social prejudice and corruption to pursue his dream.,,,8.0,2017,,Bollywood,Hindi
Kai Po Che,Drama|Sport,friendship cricket ambition,Three friends build a sports academy while facing social conflict.,,,7.8,2013,,Bollywood,Hindi
Yeh Jawaani Hai Deewani,Romance|Drama,friendship travel dreams,A group of friends reunites and learns what matters beyond ambition.,,,7.2,2013,,Bollywood,Hindi
Jab We Met,Romance|Comedy,travel identity healing,A chance meeting on a train changes the lives of two strangers.,,,7.9,2007,,Bollywood,Hindi
Hum Tum,Romance|Comedy,friendship time love,Two people continue crossing paths as friendship becomes something deeper.,,,7.0,2004,,Bollywood,Hindi
Veer Zaara,Romance|Drama,partition sacrifice letters,A long separation tests a love that crosses national boundaries.,,,7.8,2004,,Bollywood,Hindi
Kal Ho Naa Ho,Romance|Drama,friendship illness family,A joyful new friend changes two neighbors while hiding a painful truth.,,,7.9,2003,,Bollywood,Hindi
Kabhi Khushi Kabhie Gham,Drama|Romance,family tradition reunion,A family separates over expectations and searches for reconciliation.,,,7.4,2001,,Bollywood,Hindi
Kuch Kuch Hota Hai,Romance|Drama,friendship college reunion,Old friends reunite and discover how their feelings have changed.,,,7.5,1998,,Bollywood,Hindi
Dilwale Dulhania Le Jayenge,Romance|Drama,family travel tradition,Two young people fall in love while seeking their families approval.,,,8.0,1995,,Bollywood,Hindi
Hum Aapke Hain Koun,Romance|Family,wedding family celebration,A family celebration brings love and difficult choices together.,,,7.5,1994,,Bollywood,Hindi
Maine Pyar Kiya,Romance|Drama,friendship family loyalty,Two friends fall in love and face a test of family loyalty.,,,7.2,1989,,Bollywood,Hindi
Devdas,Drama|Romance,tragic love family class,"A tragic romance is shaped by pride, class, and lost chances.",,,7.6,2002,,Bollywood,Hindi
Black,Drama|Family,teacher disability perseverance,A teacher helps a deafblind student find a way to communicate.,,,8.1,2005,,Bollywood,Hindi
My Name Is Khan,Drama|Romance,identity prejudice journey,A man travels across a country to challenge prejudice and find understanding.,,,7.9,2010,,Bollywood,Hindi
Wake Up Sid,Comedy|Drama,adulthood career Mumbai,A young man learns responsibility while discovering a creative career.,,,7.6,2009,,Bollywood,Hindi
Udaan,Drama|Family,adolescence freedom writing,A teenager fights for independence while finding his own voice.,,,8.1,2010,,Bollywood,Hindi
Stanley Ka Dabba,Comedy|Drama,school childhood food,A child faces school pressures while holding onto his imagination.,,,7.8,2011,,Bollywood,Hindi
Secret Superstar,Drama|Music,family dreams singing,A young singer shares her talent anonymously while seeking freedom.,,,7.8,2017,,Bollywood,Hindi
Gully Boy,Drama|Music,rap poverty ambition,A young artist discovers his voice in the streets of Mumbai.,,,7.9,2019,,Bollywood,Hindi
Tamasha,Drama|Romance,identity storytelling travel,A man questions the life he accepted and rediscovers his imagination.,,,7.3,2015,,Bollywood,Hindi
Lootera,Drama|Romance,art betrayal history,A thief and a woman find love under the weight of a hidden past.,,,7.3,2013,,Bollywood,Hindi
Fitoor,Drama|Romance,art obsession class,A young artist becomes entangled in an intense relationship shaped by class.,,,5.4,2016,,Bollywood,Hindi
October,Drama|Romance,caregiving patience healing,A quiet bond grows while a young man cares for an injured colleague.,,,7.5,2018,,Bollywood,Hindi
Sir,Drama|Romance,class work Mumbai,A domestic worker and her employer form a restrained emotional connection.,,,7.8,2018,,Bollywood,Hindi
Kapoor and Sons,Drama|Family,secrets family grief,A family reunion exposes old secrets and changing relationships.,,,7.7,2016,,Bollywood,Hindi
Dil Dhadakne Do,Comedy|Drama,family cruise relationships,A wealthy family confronts hidden tensions during a long voyage.,,,6.8,2015,,Bollywood,Hindi
